hour,sunday,monday,tuesday,wednesday,thursday,friday,saturday
0,39,44,42,40,40,39,37
1,40,44,44,42,42,41,39
2,41,45,45,43,44,42,40
3,47,52,51,50,50,49,47
4,53,56,56,55,55,54,53
5,54,50,49,49,49,49,54
6,50,39,37,37,37,38,50
7,50,31,29,29,29,32,48
8,48,29,26,26,26,31,45
9,45,32,28,27,28,33,41
10,40,35,30,30,30,33,37
11,36,35,32,32,32,32,34
12,33,35,33,32,32,31,31
13,32,34,32,31,30,29,30
14,31,30,28,26,26,25,29
15,31,28,25,24,23,24,29
16,31,27,23,23,22,24,29
17,32,27,21,21,21,25,30
18,33,31,25,25,24,28,30
19,36,36,32,31,30,31,32
20,38,37,36,35,34,34,35
21,39,39,37,36,35,35,37
22,40,39,37,36,35,34,37
23,41,40,38,37,36,35,38
